V1;V2
pdl_28231.csv;15-mar-18
pdl_28232.csv;15-mar-18
pdl_28233.csv;15-mar-18
pdl_28234.csv;15-mar-18
pdl_28235.csv;15-mar-18
pdl_28239.csv;20-mar-18
pdl_28240.csv;20-mar-18
pdl_28241.csv;20-mar-18
pdl_28244.csv;21-mar-18
pdl_28245.csv;21-mar-18
pdl_28246.csv;21-mar-18
pdl_28251.csv;22-mar-18
pdl_28252.csv;22-mar-18
pdl_28253.csv;22-mar-18
pdl_28826.csv;03-abr-18
pdl_28827.csv;03-abr-18
pdl_28828.csv;03-abr-18
pdl_28829.csv;03-abr-18
pdl_28830.csv;03-abr-18
pdl_28831.csv;03-abr-18
pdl_28837.csv;04-abr-18
pdl_28838.csv;04-abr-18
pdl_28839.csv;04-abr-18
pdl_28840.csv;04-abr-18
pdl_28843.csv;05-abr-18
pdl_28844.csv;05-abr-18
pdl_28845.csv;05-abr-18
pdl_28846.csv;05-abr-18
pdl_28847.csv;05-abr-18
pdl_28848.csv;05-abr-18
pdl_28849.csv;05-abr-18
pdl_28892.csv;10-abr-18
pdl_28893.csv;10-abr-18
pdl_28894.csv;10-abr-18
pdl_28895.csv;10-abr-18
pdl_28897.csv;10-abr-18
pdl_28898.csv;10-abr-18
pdl_28899.csv;10-abr-18
pdl_28900.csv;10-abr-18
pdl_28910.csv;11-abr-18
pdl_28911.csv;11-abr-18
pdl_28912.csv;11-abr-18
pdl_28915.csv;12-abr-18
pdl_28916.csv;12-abr-18
pdl_28917.csv;12-abr-18
pdl_28918.csv;12-abr-18
pdl_28919.csv;12-abr-18
pdl_28920.csv;12-abr-18
pdl_28921.csv;12-abr-18
pdl_28922.csv;12-abr-18
pdl_28937.csv;17-abr-18
pdl_28938.csv;17-abr-18
pdl_28939.csv;17-abr-18
pdl_28940.csv;17-abr-18
pdl_28941.csv;17-abr-18
pdl_28942.csv;17-abr-18
pdl_28943.csv;17-abr-18
pdl_28944.csv;17-abr-18
pdl_28945.csv;17-abr-18
pdl_28946.csv;17-abr-18
pdl_28947.csv;17-abr-18
pdl_28948.csv;17-abr-18
pdl_28949.csv;17-abr-18
pdl_28950.csv;17-abr-18
pdl_28953.csv;18-abr-18
pdl_28954.csv;18-abr-18
pdl_28955.csv;18-abr-18
pdl_28956.csv;18-abr-18
pdl_28965.csv;19-abr-18
pdl_28967.csv;19-abr-18
pdl_28968.csv;19-abr-18
pdl_28969.csv;19-abr-18
pdl_28970.csv;19-abr-18
pdl_28975.csv;02-may-18
pdl_28978.csv;02-may-18
pdl_28979.csv;02-may-18
pdl_28982.csv;03-may-18
pdl_28983.csv;03-may-18
pdl_28984.csv;03-may-18
pdl_28985.csv;03-may-18
pdl_28986.csv;03-may-18
pdl_28987.csv;03-may-18
pdl_28988.csv;03-may-18
pdl_28997.csv;08-may-18
pdl_28998.csv;08-may-18
pdl_28999.csv;08-may-18
pdl_29000.csv;08-may-18
pdl_29001.csv;08-may-18
pdl_29002.csv;08-may-18
pdl_29005.csv;08-may-18
pdl_29008.csv;09-may-18
pdl_29009.csv;09-may-18
pdl_29010.csv;09-may-18
pdl_29011.csv;09-may-18
pdl_29012.csv;09-may-18
pdl_29013.csv;09-may-18
pdl_29015.csv;09-may-18
pdl_29016.csv;09-may-18
pdl_29017.csv;09-may-18
pdl_29020.csv;10-may-18
pdl_29021.csv;10-may-18
pdl_29022.csv;10-may-18
pdl_29023.csv;10-may-18
pdl_29024.csv;10-may-18
pdl_29025.csv;10-may-18
pdl_29026.csv;10-may-18
pdl_29033.csv;15-may-18
pdl_29034.csv;15-may-18
pdl_29035.csv;15-may-18
pdl_29036.csv;15-may-18
pdl_29037.csv;15-may-18
pdl_29041.csv;16-may-18
pdl_29042.csv;16-may-18
pdl_29043.csv;16-may-18
pdl_29044.csv;16-may-18
pdl_29045.csv;16-may-18
pdl_29046.csv;16-may-18
pdl_29047.csv;16-may-18
pdl_29048.csv;16-may-18
pdl_29049.csv;16-may-18
pdl_29050.csv;16-may-18
pdl_29051.csv;16-may-18
pdl_29052.csv;16-may-18
pdl_29053.csv;16-may-18
pdl_29054.csv;16-may-18
pdl_29055.csv;16-may-18
pdl_29062.csv;16-may-18
pdl_29063.csv;16-may-18
pdl_29067.csv;17-may-18
pdl_29068.csv;17-may-18
pdl_29069.csv;17-may-18
pdl_29070.csv;17-may-18
pdl_29080.csv;29-may-18
pdl_29081.csv;29-may-18
pdl_29082.csv;29-may-18
pdl_29083.csv;29-may-18
pdl_29086.csv;29-may-18
pdl_29087.csv;29-may-18
pdl_29090.csv;30-may-18
pdl_29091.csv;30-may-18
pdl_29092.csv;30-may-18
pdl_29093.csv;30-may-18
pdl_29094.csv;30-may-18
